state,cordX,cordY
Andaman and Nicobar Islands, 232.0, -192.0
Andhra Pradesh, -87.0, -152.0
Arunachal Pradesh, 245.0, 164.0
Assam, 210.0, 113.0
Bihar, 56.0, 84.0
Chandigarh, -127.0, 208.0
Chhattisgarh, -14.0, -6.0
Delhi, -110.0, 152.0
Dadra and Nagar Haveli and Daman and Diu, -196.0, -31.0
Goa, -175.0, -141.0
Gujarat, -216.0, 45.0
Himachal Pradesh, -107.0, 227.0
Haryana, -124.0, 164.0
Jharkhand, 49.0, 48.0
Jammu and Kashmir, -156.0, 272.0
Karnataka, -143.0, -156.0
Kerala, -127.0, -245.0
Ladakh, -109.0, 289.0
Lakshadweep, -209.0, -266.0
Maharashtra, -156.0, -48.0
Meghalaya, 184.0, 93.0
Manipur, 229.0, 77.0
Madhya Pradesh, -99.0, 33.0
Mizoram, 209.0, 50.0
Nagaland, 243.0, 116.0
Odisha, 41.0, -16.0
Punjab, -147.0, 202.0
Puducherry, -55.0, -218.0
Rajasthan, -216.0, 112.0
Sikkim, 115.0, 136.0
Telangana, -83.0, -82.0
Tamil Nadu, -97.0, -242.0
Tripura, 185.0, 55.0
Uttar Pradesh, -62.0, 127.0
Uttarakhand, -71.0, 189.0
West Bengal, 101.0, 36.0